Date,Description,Amount,Category
2019-04-28,LIDL GB                              GBR,-41.09,Food and Drink
2019-04-25,LIDL GB                              GBR,-28.06,Food and Drink
2019-04-21,CEX LTD                              GBR,-25.0,Fun
2019-04-18,EVERYDAY HERO                        GBR,-21.13,Charity
2019-04-16,HEATING CONTROLS ONLIN               GBR,-41.7,Home
2019-04-16,LIDL GB                              GBR,-20.96,Food and Drink
2019-04-10,PAYPAL                               GBR,-0.99,Fun
2019-04-10,HEATING CONTROLS ONLIN               GBR,-22.64,Home
2019-04-06,giffgaff                             GBR,-5.0,Home
2019-04-04,SCOTMID CO-OP                        GBR,-3.2,Food and Drink
2019-04-02,LIDL GB                              GBR,-15.86,Food and Drink
2019-03-12,SAINSBURYS                           GBR,-6.0,Food and Drink
2019-03-08,TESCO STORES                         GBR,-22.37,Food and Drink
2019-03-07,MCDONALDS                            GBR,-6.04,Food and Drink
2019-03-06,SAINSBURYS                           GBR,-4.95,Food and Drink
2019-03-04,TOOLSTATION LTD                      GBR,-5.45,Home
2019-03-04,WESTPOINT DELI                       GBR,-4.0,Food and Drink
2019-03-04,GIFFGAFF                             GBR,-5.0,Home
2019-03-02,SUBWAY                               GBR,-5.4,Food and Drink
2019-03-02,OLYMPIA PETS LTD                     GBR,-6.92,Fun
2019-03-02,LIDL GB                              GBR,-16.69,Food and Drink
2019-02-28,GREGGS PLC                           GBR,-3.95,Food and Drink
2019-02-16,LIDL GB                              GBR,-7.88,Food and Drink
2019-02-13,MARKS&SPENCER PLC                    GBR,-11.55,Food and Drink
2019-02-10,SAINSBURYS                           GBR,-29.12,Food and Drink
2019-02-10,Amazon.co.uk                         LUX,-49.99,Fun
2019-02-10,ICELAND                              GBR,-8.4,Food and Drink
2019-02-10,LIDL GB                              GBR,-38.42,Food and Drink
2019-02-01,ELVIS BAR                            GBR,-34.28,Fun
2019-01-29,Amazon.co.uk                         LUX,-4.89,Fun
2019-01-28,PAYPAL                               GBR,-1.16,Fun
2019-01-27,PAYPAL                               GBR,-27.92,Fun
2019-01-26,GIFFGAFF                             GBR,-5.0,Home
2019-01-17,M O T                                GBR,-64.2,Commuting
2019-01-11,Coverforyou.com                      GIB,-28.25,Insurance
2019-01-08,SAINSBURYS                           GBR,-1.5,Food and Drink
