Date,Description,Amount,Category
2019-04-12,CURRYS WEB ON LINE CURR UNITED KINGDOM,-483.5,Home
2019-03-21,SAINSBURY'S SUPERMARKET,-6.2,Food and Drink
2019-03-20,SAINSBURY'S SUPERMARKET,-4.0,Food and Drink
2019-03-19,SAINSBURY'S SUPERMARKET,-6.05,Food and Drink
2019-03-15,SAINSBURY'S SUPERMARKET,-3.45,Food and Drink
2019-03-14,SAINSBURY'S SUPERMARKET,-6.05,Food and Drink
2019-03-13,SAINSBURY'S SUPERMARKET,-6.2,Food and Drink
2019-03-11,SAINSBURY'S SUPERMARKET,-5.7,Food and Drink
2019-03-07,SAINSBURY'S SUPERMARKET,-6.05,Food and Drink
2019-03-05,SAINSBURY'S SUPERMARKET,-6.05,Food and Drink
2019-03-01,SAINSBURY'S SUPERMARKET,-3.45,Food and Drink
2019-02-27,SAINSBURY'S SUPERMARKET,-3.8,Food and Drink
2019-02-26,SAINSBURY'S SUPERMARKET,-2.35,Food and Drink
2019-02-25,SAINSBURY'S SUPERMARKET,-4.35,Food and Drink
2019-02-22,SAINSBURY'S SUPERMARKET,-1.5,Food and Drink
2019-02-21,SAINSBURY'S SUPERMARKET,-4.5,Food and Drink
2019-02-20,SAINSBURY'S SUPERMARKET,-1.5,Food and Drink
2019-02-19,MCDONALD'S,-6.04,Food and Drink
2019-02-19,SAINSBURY'S SUPERMARKET,-4.5,Food and Drink
2019-02-18,SAINSBURY'S SUPERMARKET,-5.5,Food and Drink
2019-02-15,SAINSBURY'S SUPERMARKET,-4.35,Food and Drink
2019-02-14,SAINSBURY'S SUPERMARKET,-2.5,Food and Drink
2019-02-13,SAINSBURY'S SUPERMARKET,-2.5,Food and Drink
2019-02-12,SAINSBURY'S SUPERMARKET,-3.0,Food and Drink
2019-02-11,SAINSBURY'S SUPERMARKET,-0.65,Food and Drink
2019-02-10,PAYPAL,-4.79,Fun
2019-01-31,SAINSBURY'S SUPERMARKET,-3.1,Food and Drink
2019-01-30,SAINSBURY'S SUPERMARKET,-2.0,Food and Drink
