Date,Description,Amount,Balance
23/12/2016,SAINSBURYS S/MKTS                ,-2.38,4049.43
22/12/2016,SKY DIGITAL,-28.9,4051.81
21/12/2016,SAINSBURYS S/MKTS                ,-3.67,4080.71
21/12/2016,TESCO STORES                          ,-9.14,4084.38
20/12/2016,SAINSBURYS S/MKTS                ,-2.88,4093.52
20/12/2016,NASA,1822,4096.4
19/12/2016,TESCO STORES 6632                     ,-7.04,2274.4
16/12/2016,SAINSBURYS S/MKTS                ,-3.31,2281.44
16/12/2016,BETFAIR                         ,-5,2284.75
15/12/2016,SAINSBURYS S/MKTS                	-1.62,2289.75
14/12/2016,BURGER KING                            	-5.69,2291.37
14/12/2016,SAINSBURYS S/MKTS                	-6.86,2297.06
14/12/2016,ASDA SUPERSTORE                   	-12.35,2303.92
14/12/2016,ASDA  PETROL UPT 4                	-26.44,2316.27
14/12/2016,PAYPAL PAYMENT	-11.98,2342.71
13/12/2016,SAINSBURYS S/MKTS                ,-3.73,2354.69
12/12/2016,SUPERDRUG STORES P                     ,-7.15,2358.42
12/12/2016,SAINSBURYS S/MKT                       ,-18.5,2365.57
10/12/2016,CASH CLYDALE DEC10        SPAR 3-4 ALB@16:49,-80,2384.07
10/12/2016,CASH CLYDALE DEC10        SPAR 3-4 ALB@10:05,-10,2464.07
09/12/2016,TESCO STORES                           ,-5.18,2474.07
09/12/2016,DAY TODAY                              ,-9.64,2479.25
08/12/2016,SAINSBURYS S/MKTS                ,-2.29,2488.89
05/12/2016,TESCO STORES                           ,-7.28,2491.18
05/12/2016,MENKIND LIMITED                  ,-44.97,2498.46
05/12/2016,ABELLIO SCOTRAIL L                 2626,-4,2543.43
05/12/2016,SAINSBURYS S/MKTS                ,-4.5,2547.43
01/12/2016,SAINSBURYS S/MKTS                ,-3.35,2551.93
01/12/2016,WORLD VISION DONOR,-22.8,2565.28
30/11/2016,TESCO STORES                           ,-7.33,2588.08
30/11/2016,VODAFONE LTD,-25.76,2595.41
28/11/2016,SAINSBURYS S/MKTS                      ,-11.55,2621.17
28/11/2016,SAINSBURYS S/MKTS                ,-25.4,2632.72
28/11/2016,SAINSBURYS S/MKTS                ,-3.05,2658.12
28/11/2016,BRITISH GAS SERV,-23.55,2661.17
28/11/2016,SOUTH LANARKSHIRE,-118,2684.72
25/11/2016,FIRST DIRECT                        ,1000,2802.72
24/11/2016,SAINSBURYS S/MKTS                ,-3.37,1802.72
24/11/2016,MR TOM JONES                        ,-1000,1806.09
