Date,Description,Amount,Category
2019-05-07,HALIFAX,-496.33,Miscellaneous
2019-05-07,ATM Withdrawal LINK,-30.0,Miscellaneous
2019-04-23,VIRGIN MEDIA PYMTS,-29.82,Miscellaneous
2019-04-23,Transfer from JONES TOM,500.0,Miscellaneous
2019-04-22,LIDL,-46.94,Food and Drink
2019-04-18,Bank credit STH LANARKSHIRE LE,132.16,Miscellaneous
2019-04-16,SCGAS-ELECTRICITY,-41.6,Home
2019-04-16,SCGAS-GAS,-66.91,Home
2019-04-04,HALIFAX,-496.33,Miscellaneous
2019-04-01,LIDL,-64.67,Food and Drink
2019-03-26,LIDL,-61.09,Food and Drink
2019-03-22,ATM Withdrawal LINK,-20.0,Miscellaneous
2019-03-21,Transfer from JONES TOM,500.0,Miscellaneous
2019-03-20,Bank credit NASA,277.28,Miscellaneous
2019-03-20,JANE JONES,-277.28,Miscellaneous
2019-03-19,VIRGIN MEDIA PYMTS,-27.72,Miscellaneous
2019-03-18,SCGAS-ELECTRICITY,-41.6,Home
2019-03-18,SCGAS-GAS,-66.91,Home
2019-03-13,ATM Withdrawal LINK,-30.0,Miscellaneous
2019-03-04,HALIFAX,-496.33,Miscellaneous
2019-02-28,Interest added,1.91,Miscellaneous
2019-02-21,Transfer from JONES TOM,500.0,Miscellaneous
2019-02-20,Bank credit NASA,1305.19,Miscellaneous
2019-02-20,JANE JONES,-550.0,Miscellaneous
2019-02-19,VIRGIN MEDIA PYMTS,-28.37,Miscellaneous
2019-02-18,SCGAS-ELECTRICITY,-41.6,Home
2019-02-18,SCGAS-GAS,-66.91,Home
2019-02-18,LIDL,-63.96,Food and Drink
2019-02-11,JANE JONES,-3000.0,Miscellaneous
2019-02-04,HALIFAX,-496.33,Miscellaneous
2019-01-31,Interest added,2.11,Miscellaneous
2019-01-26,Bank credit JONES TOM,500.0,Miscellaneous
2019-01-21,SCGAS-ELECTRICITY,-41.6,Home
2019-01-21,SCGAS-GAS,-66.91,Home
2019-01-21,EUROCHANGE LIMITED,-547.22,Miscellaneous
2019-01-19,MR TOM JONES,-1000.0,Miscellaneous
2019-01-18,Bank credit NASA,1116.43,Miscellaneous
2019-01-18,JANE JONES,-600.0,Miscellaneous
2019-01-10,Cheque deposit,1000.0,Miscellaneous
2019-01-04,TOM JONES,-192.27,Miscellaneous
